65562,161884214121660[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11,161882610018327,-0.036505,-0.2310,161882716409004,-1.8648414,161882623715358,-0.364,161882632477754,-0.36272255,4,161882639456921,-0.36272255,-0.03568636,0.06897584,161882648434681,-0.36272255,-0.03568636,0.068975811,161882774150879,-0.036505,-0.237508,-0.412662,0.4,161882670430515,-0.47537425,-0.027696876,0.08016115
216,0.0
011713,-1.7269068,0.17281485,1.0101376
4,161882682809160,-0.49960902,-0.02130529,0.083889574
11,161882828281192,-0.042015,-0.229759,-0.421532,0.876216,0.0
10,161882828281192,-1.7269068,0.17281485,1.0101376
10,161882796809785,-1.7269068,0.17281485,1.0101376
872399,0.0
11,161882796809785,-0.044563,-0.228293,-0.429902,0.872399,0.0
10,161882781540046,-1.7269068,0.17281485,1.0101376
11,161882695144369,-0.044563,-0.228293,-0.429902,0.872399,0.0
10,161882843830463,-1.7130032,0.18791032,1.0012941
4,161882695144369,-0.5270396,-0.013315806,0.09241169
11,161882855737129,-0.044779,-0.227326,-0.429679,0.87275,0.0
10,161882855737129,-1.7116189,0.06459248,1.0337324
4,161882698915098,-0.5368933,-0.0029294773,0.10173275
11,161882862249838,-0.046717,-0.22612,-0.436657,0.869492,0.0
10,161882862249838,-1.6992521,0.0739975,1.0264854
4,161882706409004,-0.5411543,-0.0015978967,0.10519487
11,161882875676660,-0.046387,-0.224844,-0.436189,0.870075,0.0
10,161882875676660,-1.6097724,0.20160234,0.9331932
4,161882786540046,-0.18216023,0.036751624,0.1454086
4,161882663401244,-0.12516858,0.046339005,0.15446335
11,161883066341817,-0.069213,-0.205063,-0.455501,0.863525,0.0
10,161883066341817,-1.8408558,0.39367217,0.1812973
4,161882792224994,-0.18216023,0.036751624,0.1454086
11,161883077490254,-0.07396,-0.202082,-0.455739,0.863709,0.0
10,161883077490254,-1.8242743,0.41862273,0.029565811
4,161882796809785,-0.17230652,0.036751624,0.14301175
11,161883090912546,-0.080637,-0.198135,-0.460376,0.861564,0.0
10,161883090912546,-1.8160927,0.54560053,0.018829346
4,161882804812702,-0.14407702,0.03355583,0.13129385
4,161882810011713,-0.13369069,0.031158986,0.12516858
11,161883117600723,-0.103367,-0.184304,-0.464733,0.859865,0.0
10,161883117600723,-1.78073,-0.16410774,0.32033157
4,161882813168275,-0.13369069,0.031158986,0.12516858
11,161883129901192,-0.111424,-0.179473,-0.464848,0.859819,0.0
10,161883129901192,-1.772785,0.015300736,0.31980515
4,161882818168275,-0.1222391,0.019707393,0.11265171
11,161883139733952,-0.119359,-0.174766,-0.4642,0.860074,0.0
10,161883139733952,-1.6908884,-0.2385019,0.3158369
4,161882823168275,-0.1222391,0.019707393,0.11265171
11,161883147930046,-0.127256,-0.170093,-0.463812,0.860088,0.0
10,161883147930046,-1.7165554,-0.2960453,0.360734
11,161883157550775,-0.134861,-0.16567,-0.462743,0.860368,0.0
4,161882828281192,-0.1222391,0.019707393,0.11265171
4,161882830517598,-0.11957593,0.017044231,0.10892329
10,161883157550775,-1.6445632,-0.31484163,0.392251
10,161883170203067,-1.6465898,-0.2955293,0.443532
4,161882835517598,-0.100933805,0.010652645,0.101999074
11,161883179207077,-0.14992,-0.156986,-0.460611,0.860648,0.0
10,161883179207077,-1.6723866,-0.30013466,0.60336876
4,161882840517598,-0.100933805,0.010652645,0.101999074
10,161883190341556,-1.6249247,-0.24352026,0.6833391
4,161882843830463,-0.100933805,0.010652645,0.101999074
11,161883201987077,-0.165306,-0.148503,-0.45802,0.860719,0.0
10,161883201987077,-1.6192963,-0.070925236,0.70752144
4,161882848399473,-0.083889574,0.007456851,0.09773801
11,161883217180567,-0.173051,-0.144444,-0.456685,0.860597,0.0
10,161883217180567,-1.3736584,-0.530022,0.96544075
4,161882855737129,-0.0644485,0.004527374,0.09374327
11,161883223755358,-0.180587,-0.140645,-0.455193,0.860468,0.0
4,161882859200723,-0.025832662,-0.0031957934,0.087884314
11,161883238110775,-0.194597,-0.13406,-0.451595,0.86036,0.0
10,161883238110775,-1.3306236,-0.04888296,1.1263332
11,161883250623639,-0.201194,-0.131204,-0.449761,0.860244,0.0
10,161883250623639,-1.3333254,0.091995955,1.1626854
4,161882871001973,-0.013582122,-0.005060006,0.08468852
11,161883265407077,-0.207463,-0.1287,-0.447296,0.860419,0.0
10,161883265407077,-0.9656887,-0.1658585,0.8697672
4,161882875676660,-0.009054748,-0.0063915867,0.07643273
10,161883273302077,-0.83345795,-0.21079516,0.893384
4,161882878878588,-0.017576864,-0.00958738,0.073236935
10,161883286463171,-0.7537935,-0.25228667,1.0810156
4,161882883878588,-0.028229509,-0.012250541,0.07084008
11,161883298192910,-0.2281,-0.12098,-0.437055,0.861577,0.0
10,161883298192910,-0.75312114,-0.15852642,1.1112118
4,161882888463796,-0.028229509,-0.012250541,0.07084008
11,161883307187858,-0.231777,-0.119546,-0.435294,0.861688,0.0
10,161883307187858,-0.81012416,-0.23987675,1.3267536
4,161882892365931,-0.0396811,-0.014647386,0.06897587
11,161883317386400,-0.234557,-0.118963,-0.431995,0.862675,0.0
10,161883317386400,-0.8350737,-0.10385156,1.3159342
11,161883328457441,-0.237145,-0.118257,-0.430443,0.862841,0.0
4,161882904336504,-0.051665325,-0.018908445,0.06791061
11,161883335985202,-0.239454,-0.118024,-0.428169,0.863367,0.0
10,161883335985202,-0.8538873,0.16905594,0.9261408
4,161882909906348,-0.055926383,-0.025566347,0.06737798
10,161883347412025,-0.8181846,0.16776633,0.8369274
11,161883357444681,-0.24388,-0.117824,-0.425478,0.863485,0.0
10,161883357444681,-0.7242358,0.08247781,0.7181759
4,161882920933848,-0.06764429,-0.030626353,0.066046394
11,161883365910254,-0.245658,-0.117904,-0.42464,0.863383,0.0
10,161883365910254,-0.7289715,-0.12844586,0.74758816
4,161882924880619,-0.07403588,-0.03488741,0.06471482
11,161883376786087,-0.246754,-0.118386,-0.423303,0.863661,0.0
10,161883376786087,-0.766773,-0.27943945,0.67900467
4,161882930743848,-0.07989483,-0.03701794,0.06578008
11,161883389931660,-0.247347,-0.118862,-0.422782,0.863681,0.0
10,161883389931660,-0.83952785,-0.26245785,0.67260075
4,161882935743848,-0.0793622,-0.043675844,0.06897587
11,161883398286191,-0.2474,-0.11957,-0.422149,0.863878,0.0
10,161883398286191,-0.84935117,-0.26499033,0.67642593
4,161882940263692,-0.0793622,-0.043675844,0.06897587
11,161883414053744,-0.247091,-0.120396,-0.421617,0.864111,0.0
10,161883414053744,-0.9856522,0.036566496,0.70125866
4,161882945927754,-0.07483483,-0.046339005,0.06977482
4,161882948928848,-0.07483483,-0.046339005,0.06977482
11,161883437065983,-0.245629,-0.121989,-0.420883,0.864662,0.0
10,161883437065983,-1.0270731,0.0341506,0.56062794
4,161882957358848,-0.0743022,-0.049002163,0.07137272
11,161883449816348,-0.244119,-0.122956,-0.421134,0.86483,0.0
10,161883449816348,-1.032615,7.596016E-4,0.55076885
4,161882963542442,-0.077231675,-0.052464273,0.073236935
11,161883464701400,-0.243531,-0.123232,-0.421314,0.86487,0.0
10,161883464701400,-1.033396,-0.0117378235,0.5464773
10,161883475529316,-1.0330527,-0.021525145,0.5426655
4,161882972055150,-0.091080114,-0.05539375,0.079095885
11,161883475529316,-0.242719,-0.12331,-0.421685,0.864906,0.0
11,161883502811869,-0.243092,-0.122815,-0.422422,0.864512,0.0
4,161882979119317,-0.10173275,-0.05566007,0.080960095
11,161883513911608,-0.243693,-0.122215,-0.422929,0.86418,0.0
10,161883513911608,-0.9301746,0.123925924,0.6173506
4,161882989777910,-0.15659387,-0.056991648,0.09667275
4,161882982839473,-0.15659387,-0.056991648,0.09667275
11,161883524549994,-0.244418,-0.121491,-0.423509,0.863793,0.0
